Tarih;Hareket saati;Varış zamanı;Süre;Başlangıç ​​adresi;Geliş adresi;Mesafe;Sayaçtaki kilometre (km);Ortalama tüketim (l / 100);Yakıt fiyatları (TRY/l);Maliyet (TRY);Kategori;
"18/05/24";14:38;15:11;"00:33";;;"28";84298;"4,5";"40";"49,98";""
"19/05/24";12:59;13:46;"00:47";;;"32";84330;"6,1";"40";"78,65";""
"19/05/24";14:34;15:14;"00:40";;;"26";84355;"5,4";"40";"54,89";""
"19/05/24";15:37;15:42;"00:05";;;"4";84359;"6,6";"40";"9,83";""
"19/05/24";15:53;16:05;"00:12";;;"10";84369;"3,1";"40";"12,3";""
"19/05/24";16:17;16:22;"00:05";;;"2";84371;"6,8";"40";"4,1";""
"21/05/24";16:57;17:00;"00:03";;;"2";84372;"4,1";"40";"2,46";""
"21/05/24";17:11;17:13;"00:02";;;"1";84374;"7,9";"40";"4,1";""
"22/05/24";17:46;17:56;"00:10";;;"4";84377;"5,7";"40";"8,19";""
"22/05/24";18:31;18:33;"00:02";;;"1";84378;"5,1";"40";"1,64";""
"22/05/24";18:52;18:55;"00:03";;;"2";84380;"6,4";"40";"4,1";""
"22/05/24";18:58;19:00;"00:02";;;"1";84381;"11,9";"40";"5,74";""
"23/05/24";13:26;13:45;"00:19";;;"15";84396;"4,9";"40";"29,49";""
"23/05/24";13:48;13:54;"00:06";;;"4";84400;"4,7";"40";"8,19";""
"23/05/24";14:06;14:17;"00:11";;;"10";84410;"3,3";"40";"13,11";""
"23/05/24";14:26;14:28;"00:02";;;"1";84412;"5,6";"40";"2,46";""
"23/05/24";16:27;16:29;"00:02";;;"1";84413;"6,8";"40";"3,28";""
"23/05/24";16:31;16:34;"00:02";;;"1";84414;"11,2";"40";"4,92";""
"24/05/24";16:39;17:11;"00:32";;;"15";84429;"6,4";"40";"38,51";""
"24/05/24";17:15;17:18;"00:03";;;"1";84430;"6,8";"40";"1,63";""
"24/05/24";18:00;18:14;"00:14";;;"5";84435;"5,4";"40";"10,65";""
"24/05/24";18:22;18:31;"00:09";;;"2";84437;"7,2";"40";"5,73";""
"24/05/24";22:53;23:10;"00:17";;;"12";84449;"6,8";"40";"31,95";""
"25/05/24";17:16;17:24;"00:08";;;"5";84453;"6,2";"40";"11,46";""
"25/05/24";22:39;22:47;"00:08";;;"5";84458;"6,8";"40";"12,29";""
"26/05/24";08:35;08:39;"00:04";;;"1";84459;"5,8";"40";"3,27";""
"26/05/24";09:03;09:06;"00:03";;;"1";84461;"7,8";"40";"4,09";""
"26/05/24";12:02;13:01;"00:59";;;"47";84508;"3,8";"40";"71,27";""
"26/05/24";16:26;16:32;"00:06";;;"1";84509;"8,9";"40";"2,46";""
"26/05/24";16:37;16:46;"00:08";;;"3";84512;"6,8";"40";"7,37";""
"26/05/24";16:49;17:03;"00:14";;;"12";84523;"3,5";"40";"16,39";""
"26/05/24";17:22;18:02;"00:40";;;"35";84558;"4,9";"40";"68,82";""
"29/05/24";08:15;08:21;"00:06";;;"5";84564;"4";"40";"8,19";""
"29/05/24";09:04;09:06;"00:02";;;"1";84564;"3,4";"40";"0,82";""
"29/05/24";09:10;09:13;"00:03";;;"1";84565;"12,3";"40";"2,45";""
"29/05/24";09:15;09:24;"00:09";;;"5";84570;"7";"40";"14,75";""
